,replicates_count,train_replicate,repeat_no,time(min),R_train,R_validation,R_test_insample,R_test_independent,R_testHQ
0,k1,Virus1_IT_R1,0,4,0.7802212532933893,0.7356316162302594,0.7394252351439594,"[0.7307946310293039, 0.7193674194177148, 0.7179693900792129, 0.5677262822027457, 0.5694042881084747, 0.5620312660841622, 0.5508495650983952, 0.5253675779150971, 0.5173022686930335, 0.4976470922542812, 0.4583364757776617, 0.46562911799261064]",0.8484032692305716
1,k1,Virus1_IT_R1,1,4,0.7748210081281919,0.7367067124737302,0.7272125249929985,"[0.7325259000462601, 0.7215416617012477, 0.7206792580142598, 0.5719266381046316, 0.573479631525995, 0.5662989586926783, 0.5552500844088645, 0.530268091900165, 0.5233255431700472, 0.49707151781393977, 0.46095551082006797, 0.4672199750315576]",0.8395807346230205
2,k1,Virus1_IT_R1,2,3,0.7652450905678098,0.7203352122685945,0.7391474785989542,"[0.7294380365344433, 0.7181162672083756, 0.7167765835854897, 0.5618948771188418, 0.5637426545298103, 0.5563006058973529, 0.542151222882405, 0.5170566736186454, 0.5096571061197718, 0.49117049677589464, 0.45349896032941445, 0.4606029555280813]",0.8343210672052885
3,k1,Virus1_IT_R1,3,3,0.7690200333219106,0.7484665616485994,0.7527429696042641,"[0.7388917734596399, 0.7278435789749909, 0.7263981787753573, 0.5763970493764426, 0.5776366743619576, 0.5705347704262549, 0.5588321934049739, 0.5337476706621004, 0.525931113025487, 0.5010400114842387, 0.462810685863001, 0.46949087510336546]",0.8486067215639405
4,k1,Virus1_IT_R1,4,4,0.7733458147823995,0.7376349144511927,0.7444244009253379,"[0.7126954148637443, 0.6994912947106916, 0.6984296314230647, 0.5424422616831381, 0.5436736729229891, 0.5358850014809309, 0.5205757717091622, 0.49459349683122217, 0.48474607576481377, 0.4802065007993945, 0.440976641863964, 0.44795083416201037]",0.8304011248344034
5,k1,Virus1_IT_R1,5,4,0.7663543268942722,0.7450332323199145,0.7477255285518873,"[0.7398022737132707, 0.7292727364793365, 0.7273758341137652, 0.5796259469150926, 0.5811779995731516, 0.5732368849230711, 0.5662068098492529, 0.5414432023697496, 0.5329456025367634, 0.5057236200537684, 0.4664875998396586, 0.4728651437280731]",0.856716430088498
6,k1,Virus1_IT_R1,6,4,0.7681395427940326,0.728736947991933,0.7395907869266148,"[0.7366271555503681, 0.7262853203120448, 0.7246100753401228, 0.575227982209993, 0.577323937544153, 0.5698534913493164, 0.5593880624146402, 0.5349731845792276, 0.5270795748432173, 0.4996106508826617, 0.4622059599201205, 0.4697056525623274]",0.8453375670692644
7,k1,Virus1_IT_R1,7,28,0.7756409397292509,0.7425923016127376,0.7329080751183576,"[0.7249390740667325, 0.7131274253782642, 0.7121047891268882, 0.5593214463204127, 0.5614425149968568, 0.5545734749853946, 0.5412641172627303, 0.5158573935417105, 0.5072772126935886, 0.4910592276809068, 0.4526551858777841, 0.4592950740591751]",0.8351336787913932
8,k1,Virus1_IT_R1,8,4,0.77611288338158,0.75143183230649,0.7424045969949237,"[0.7377403218435584, 0.72650735425656, 0.7250824204228445, 0.5781370755283711, 0.5797089524801271, 0.5720285861070232, 0.5621916486687198, 0.5379298598725394, 0.5300280159315492, 0.5031372378547749, 0.46597114359810776, 0.4727372985349809]",0.8511006440482344
9,k1,Virus1_IT_R1,9,3,0.7690416430549615,0.737066504837609,0.7297735922924454,"[0.7364863097127877, 0.7244707218454898, 0.7234649372215496, 0.5751317272959536, 0.5768990410252028, 0.5693120853740218, 0.5606190723296377, 0.5355830322753798, 0.5273069071354017, 0.5046063661191016, 0.46513174242730226, 0.4724525706020484]",0.853678767843802
10,k1,Virus1_IT_R2,0,4,0.7733292414399235,0.7273939269753187,0.7200229315470235,"[0.7220479459371578, 0.7104717350680969, 0.7091791287884356, 0.5562913934140352, 0.5579911180420023, 0.5501929591819381, 0.5375970610066163, 0.5125213423373607, 0.5042367582615952, 0.4888801039330668, 0.4503838250868547, 0.4559184457488696]",0.8311905157396494
11,k1,Virus1_IT_R2,1,4,0.7588604982872079,0.7230005347848316,0.7302453318037603,"[0.7256620724659332, 0.71370092676951, 0.7117841426983947, 0.5547804567984876, 0.5565009431658106, 0.5481769265935493, 0.5354568249038432, 0.5093383029241986, 0.5007071116304108, 0.488701221022714, 0.450237374904305, 0.45776801894998803]",0.8325656594259819
12,k1,Virus1_IT_R2,2,4,0.7672310651007055,0.7313842903981038,0.7243147900013038,"[0.7299379262915497, 0.7180650901657756, 0.7167174978306958, 0.5621537435624969, 0.5639959201433474, 0.5556374666850663, 0.5461290755501876, 0.5199428554701546, 0.5116333522624102, 0.49396668593985543, 0.45498102719757605, 0.4616969821873183]",0.842119816687241
13,k1,Virus1_IT_R2,3,4,0.7765479772887494,0.7341843727918327,0.7062729685806335,"[0.729340494432891, 0.7182946997838355, 0.7173649293927273, 0.5683858590382942, 0.5700413931621315, 0.5628615835102098, 0.5516830427274311, 0.5265332576671362, 0.5197428780996824, 0.49483811188464294, 0.457933031470726, 0.4628694835939138]",0.8349188717756036
14,k1,Virus1_IT_R2,4,3,0.7534837618818481,0.7274698498091867,0.7397437664984167,"[0.7313052681298141, 0.7203158130767766, 0.7190542674115354, 0.5631052461554831, 0.5656585940037947, 0.5572780353118592, 0.5455934324560485, 0.5207998258203146, 0.5126547242340931, 0.49506422904050507, 0.4572769475892073, 0.4639143150986577]",0.8344800028035982
15,k1,Virus1_IT_R2,5,4,0.7782160694025635,0.7396114471381949,0.7149936740154038,"[0.7339569774669258, 0.7238020223076904, 0.7227235988600551, 0.5769119351928151, 0.5790822698877214, 0.5709486590322411, 0.5624295292235136, 0.5382305651388649, 0.5305853871815566, 0.5032337735280875, 0.4661144421644934, 0.4718407976391425]",0.8442938098895865
16,k1,Virus1_IT_R2,6,4,0.7683293548697235,0.7200836605006704,0.7229066898279424,"[0.7409723976707725, 0.7307259067504533, 0.7288395182461934, 0.5865964372104355, 0.5883137387351943, 0.5800841022863635, 0.5738373787671822, 0.5494567023309853, 0.5424284489765443, 0.5092162238230316, 0.471909681668117, 0.4781338872100981]",0.8545527248060238
17,k1,Virus1_IT_R2,7,4,0.7640356209218453,0.7313932616572097,0.7249863360477566,"[0.7246982888256505, 0.7141009889590594, 0.7129619499506917, 0.5552208566042429, 0.5565681452556547, 0.5486093241634022, 0.533281274034101, 0.5088319500082169, 0.5010997729620605, 0.486838675920688, 0.4492062250712834, 0.4555609117970675]",0.8248943670799638
18,k1,Virus1_IT_R2,8,5,0.7674033606393831,0.7290918394457954,0.724514381672425,"[0.7209598915412868, 0.7090963869105704, 0.7082250958984411, 0.5501503923130168, 0.551380920272106, 0.5432738352909038, 0.532775225425922, 0.5073936681553028, 0.49840320764871887, 0.48578933426326804, 0.44601767682997984, 0.4534410457235063]",0.8319272070063757
19,k1,Virus1_IT_R2,9,5,0.7602520758454975,0.7256265650241461,0.72858803506233,"[0.7412608593130606, 0.7309946941858486, 0.7300904936255644, 0.5793574673862525, 0.5817612191971012, 0.5734187191122493, 0.5657196029267262, 0.5416912602090806, 0.5338251468534728, 0.5041514277477636, 0.4675754542929234, 0.47351836626650723]",0.8509103806730111
20,k1,Virus1_IT_R3,0,4,0.7645082980874472,0.7248242816867643,0.737023858623422,"[0.7322687647133878, 0.7202366886082554, 0.7196530298676226, 0.5670435265408152, 0.5683058584667302, 0.5613057006193628, 0.5503615272609444, 0.5253184646135285, 0.5180352966264092, 0.497937980494449, 0.4591546923519864, 0.4661333130877911]",0.8424646926096239
21,k1,Virus1_IT_R3,1,6,0.7782697307534684,0.7386187730938656,0.7402010993683867,"[0.7306547890829318, 0.7187130829302518, 0.7179587163877645, 0.5710274756633685, 0.5721442900243461, 0.565026809237759, 0.5540271682152831, 0.529911622040694, 0.5223017975720566, 0.49990271934660113, 0.46213591124461917, 0.4686792352476378]",0.844946660477215
22,k1,Virus1_IT_R3,2,6,0.782016566433358,0.7449455593021369,0.7135236173326954,"[0.7220939903265224, 0.7094799894416063, 0.7077298209292562, 0.5518560453997268, 0.5533528058760987, 0.5450884236251334, 0.5332059653594177, 0.5083226691004252, 0.4999456207945984, 0.4852959885720952, 0.4469788325468801, 0.45330106531465014]",0.8292510241966622
23,k1,Virus1_IT_R3,3,5,0.7729231285195274,0.7420779805922294,0.7341990727050722,"[0.7164065022643374, 0.7038825120675155, 0.702262055916951, 0.5424786913906202, 0.5446840805330689, 0.5373867124322272, 0.5233487525916862, 0.49840725055927637, 0.4900839578243222, 0.47848179532567214, 0.4405215703648781, 0.4465701710955059]",0.8196772909019729
24,k1,Virus1_IT_R3,4,4,0.7525249417071385,0.7195492072265816,0.7321015517270487,"[0.7095141856784625, 0.696367303378089, 0.6949805082759832, 0.5345457284963211, 0.5364215712964941, 0.5281888890792188, 0.5109929268186558, 0.4846996941719554, 0.4759935738917203, 0.4747908643771604, 0.4342942084720936, 0.4429098033727843]",0.8137788052186997
25,k1,Virus1_IT_R3,5,4,0.7693281041314628,0.7312685033513903,0.7354871713946982,"[0.7331237164060254, 0.7222249631966757, 0.720407713971487, 0.5670192199301074, 0.5685864741220142, 0.5611384930510566, 0.549838959905696, 0.525170572023631, 0.5174749184625445, 0.496681506474037, 0.45794157948578934, 0.46466067473417094]",0.840171438657072
